,method,parameter,total_features,noise_level,noisy_score,score,features_names,feature_weights,feature_complexities
620,omp,3,22,0.5,0.9775030211456819,0.9999999066066555,"['Bool[holding]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.001073608358178, 0.0018407124745364253, 2.000072019266837]","[1, 4, 4]"
621,omp,4,22,0.5,0.9775031032151955,0.999999822649015,"['Bool[holding]', 'Num[Forall(on,ontable)]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0006389662593493, 0.0008297750507620605, 0.0026292246054281255, 2.000423072982732]","[1, 3, 4, 4]"
622,omp,5,22,0.5,0.9775031113750052,0.9999998143014772,"['Bool[holding]', 'Num[Forall(on,ontable)]', 'Bool[And(Not(clear),Nominal(a))]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0005819765005495, 0.0007995958566201453, 0.000839603790980579, 0.002538661940580691, 2.0002566958831105]","[1, 3, 4, 4, 4]"
623,omp,6,22,0.5,0.977503114091631,0.9999998115223515,"['Bool[holding]', 'Num[Forall(on,ontable)]', 'Bool[And(Not(clear),Nominal(a))]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.000549400219244, 0.0008532282231922645, 0.0007793907068870945, 0.002497993588429236, 0.00022301033948785994, 2.0002638282161493]","[1, 3, 4, 4, 4, 4]"
624,omp,7,22,0.5,0.9775031150502865,0.9999998105416408,"['Bool[holding]', 'Num[Forall(on,ontable)]', 'Bool[And(Not(clear),Nominal(a))]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0004922177880495, 0.000865043181309002, 0.0006582339653996526, 0.0024813758259951916, -0.0005296168901354373, 0.00023159068764951486, 2.000301976951898]","[1, 3, 4, 4, 4, 4, 4]"
625,omp,8,22,0.5,0.9775031150502865,0.9999998105416408,"['Bool[holding]', 'Num[Forall(on,ontable)]', 'Bool[And(Not(clear),Nominal(a))]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0004922177880495, 0.000865043181309002, 0.0006582339653996526, 0.0024813758259951916, -0.0005296168901354373, 0.00023159068764951486, 2.000301976951898]","[1, 3, 4, 4, 4, 4, 4]"
626,omp,9,22,0.5,0.9775031150502865,0.9999998105416408,"['Bool[holding]', 'Num[Forall(on,ontable)]', 'Bool[And(Not(clear),Nominal(a))]', 'Num[Not(And(ontable,Nominal(a)))]', 'Num[Not(And(holding,Nominal(a)))]', 'Num[Not(And(clear,ontable))]', 'Num[Exists(Star(on),Nominal(a))]']","[1.0004922177880495, 0.000865043181309002, 0.0006582339653996526, 0.0024813758259951916, -0.0005296168901354373, 0.00023159068764951486, 2.000301976951898]","[1, 3, 4, 4, 4, 4, 4]"
627,omp,1,22,1.0,0.8951387549237192,0.9776438640747503,"['Num[Exists(Star(on),Nominal(a))]']",[1.967128316677473],[4]
628,omp,2,22,1.0,0.9155037351603651,0.9999996050614385,"['Bool[holding]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9972191777623066, 1.9994551804954621]","[1, 4]"
629,omp,3,22,1.0,0.9155041260778053,0.9999991783102642,"['Bool[holding]', 'Bool[Exists(on,Nominal(a))]', 'Num[Exists(Star(on),Nominal(a))]']","[0.9970397872902027, -0.006257582001595934, 2.000738302701011]","[1, 3, 4]"
